"species","lon","lat","bio_1","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","pc_1","pc_2","pc_3","pc_4","pc_5"
"Boana rosenbergi",-83.591181,8.478422,2992,2999,2986,38373,6060,650,560,16136,2466,30,659,491,3019,2974,45,5.62853384017944,1.9137419462204,0.701801300048828,1.73393595218658,-1.82003498077393
"Boana rosenbergi",-83.50139,8.69602,2988,2996,2982,43474,6853,697,564,18020,2685,47,681,539,3031,2962,69,5.91372680664062,2.16245794296265,0.807554721832275,2.65212988853455,-1.11187696456909
"Boana rosenbergi",-83.663884,8.689636,2991,2999,2985,40760,6496,622,579,17447,2341,31,629,541,3021,2972,49,5.81007480621338,2.01704096794128,0.821787774562836,2.24423789978027,-1.88898801803589
"Boana rosenbergi",-79.694968,9.119176,2990,2994,2987,26882,4055,214,587,10793,1038,51,789,292,3028,2964,64,4.10578918457031,-0.108669303357601,0.747767090797424,0.289867609739304,-1.34002494812012
"Boana rosenbergi",-84.154904,9.405203,2985,2991,2981,55940,7976,1073,514,22086,3792,29,652,427,3009,2964,45,7.18457698822021,3.99845290184021,1.03626096248627,3.44611597061157,-1.4135639667511
"Boana rosenbergi",-84.581093,9.78703,2979,2986,2974,35373,5929,263,713,16626,1007,44,694,451,3019,2956,63,5.04317808151245,0.801191627979279,1.52912700176239,2.12960910797119,-1.77567601203918
"Boana rosenbergi",-83.298207,8.389043,2984,2991,2978,40879,6621,739,559,16823,2762,20,596,476,3004,2971,33,5.83531999588013,2.56542611122131,0.923335671424866,1.93776595592499,-2.18857502937317
"Boana rosenbergi",-83.284129,8.662777,2984,2990,2979,40204,6098,779,526,15883,2962,41,686,419,3020,2960,60,5.53174591064453,2.24537801742554,0.679272472858429,1.76691102981567,-1.18753397464752
"Boana rosenbergi",-79.034958,1.02854,2983,2987,2980,26198,3619,1113,394,9977,3732,53,836,284,3017,2954,63,4.29848384857178,1.78585600852966,-0.1190529987216,-0.72650271654129,-0.0742831900715828
"Boana rosenbergi",-79.446259,-0.000458,2977,2981,2972,26345,4795,423,789,14234,1735,62,827,335,3016,2941,75,4.39087104797363,0.335703313350677,1.48946797847748,1.08820295333862,-0.597550094127655
"Boana rosenbergi",-84.62782,9.68102,2989,2996,2984,33470,5646,231,723,16043,882,29,632,437,3017,2971,46,5.08414316177368,0.677179992198944,1.30467104911804,1.8116250038147,-2.45083093643188
"Boana rosenbergi",-83.87884,9.276017,2982,2987,2977,65535,9320,1723,452,26466,6207,28,667,384,3004,2962,42,8.50435638427734,6.14827823638916,0.856874883174896,4.32726812362671,-0.571874678134918
"Boana rosenbergi",-80.644387,-1.897451,2967,2987,2950,8677,2058,49,1020,5477,170,53,619,1492,3012,2927,85,1.83586895465851,-1.81541097164154,1.10260701179504,-0.834041774272919,-1.6242790222168
"Boana rosenbergi",-79.800331,-0.737666,2973,2980,2965,17743,4030,191,968,10952,701,56,786,596,3009,2938,71,3.48989200592041,-0.80294668674469,1.76618897914886,0.405253410339355,-1.15510499477386
"Boana rosenbergi",-83.306717,8.527226,2992,2999,2986,34482,5443,640,544,13897,2416,28,645,479,3019,2976,43,5.18743801116943,1.63041400909424,0.480144113302231,1.08041703701019,-1.89853298664093
"Boana rosenbergi",-84.974864,10.55542,2957,2965,2948,31351,4333,718,500,12485,2431,62,643,638,3016,2919,97,3.7280900478363,1.55365002155304,0.667793095111847,0.764921188354492,-0.576526284217834
"Boana rosenbergi",-84.612023,9.757048,2987,2994,2982,32812,5513,237,717,15540,904,37,655,466,3022,2966,56,4.90617895126343,0.541211187839508,1.25395500659943,1.76199102401733,-2.10494995117188
"Boana rosenbergi",-77.200669,3.842128,2985,2990,2983,65535,11579,4784,241,34292,17250,26,757,284,3002,2968,34,11.6586503982544,13.1234903335571,-1.53985297679901,4.12787008285522,3.68757510185242
"Boana rosenbergi",-74.6436,6.5469,2980,2987,2972,31532,4041,770,402,11093,3279,86,809,533,3040,2934,106,3.99345302581787,1.19328200817108,-0.0303663108497858,0.452074110507965,0.742558479309082
"Boana rosenbergi",-78.501304,1.173285,2970,2976,2966,65535,8470,3988,233,23054,13524,49,799,407,3003,2942,61,9.05660533905029,10.3241701126099,-1.36079096794128,2.2753210067749,3.46965408325195
"Boana rosenbergi",-78.602759,1.000246,2960,2966,2956,65535,9312,4370,233,25535,14989,45,810,382,2990,2934,56,9.59196758270264,11.541919708252,-1.21345400810242,2.55689811706543,3.84986209869385
"Boana rosenbergi",-76.058,8.1719,2999,3005,2994,16761,2317,312,536,6469,1125,70,749,446,3052,2959,93,2.88529300689697,-1.05169796943665,-0.279066413640976,-0.878713428974152,-0.545044779777527
"Boana rosenbergi",-79.205316,9.289565,2983,2988,2979,30950,4878,239,600,12871,1067,54,816,337,3020,2954,66,4.48271417617798,0.315031796693802,1.17133700847626,0.954450190067291,-1.21506595611572
"Boana rosenbergi",-79.703333,0.355833,2961,2966,2958,19599,3731,324,805,10582,1135,62,894,290,3000,2931,69,3.47969889640808,-0.258697986602783,1.78832697868347,-0.0856680572032928,-0.635830700397491
"Boana rosenbergi",-83.20045,8.701051,2980,2986,2976,52185,7758,1067,513,20292,4020,47,687,388,3020,2951,69,6.65906095504761,3.62642288208008,0.897785484790802,3.22562909126282,-0.628856718540192
"Boana rosenbergi",-79.5,9.1333,2986,2991,2982,26177,3795,174,610,10608,788,53,781,344,3027,2959,68,3.87954592704773,-0.282816797494888,0.832204818725586,0.239733099937439,-1.34361505508423
"Boana rosenbergi",-76.944444,3.672778,2986,2991,2984,65535,10930,4599,225,31203,16655,36,764,287,3008,2961,47,11.0474901199341,12.4380102157593,-1.68516302108765,3.71924495697021,3.85931205749512
"Boana rosenbergi",-76.897888,3.839861,2983,2988,2981,65535,8947,3549,237,25499,13004,40,776,287,3008,2957,51,9.46686840057373,9.85160446166992,-1.17295002937317,2.86891293525696,2.6570200920105
"Boana rosenbergi",-79.034722,0.083333,2953,2958,2949,38870,6305,1028,585,17486,3876,51,803,366,2981,2917,64,5.38460493087769,3.1422700881958,1.65839505195618,1.67291402816772,-0.334659904241562
"Boana rosenbergi",-79.4,-0.01941,2975,2979,2970,27453,4957,454,775,14666,1871,61,823,348,3013,2939,74,4.48434495925903,0.551693975925446,1.53314197063446,1.1857750415802,-0.606113910675049
"Boana rosenbergi",-79.053889,0.256944,2963,2969,2959,39130,6159,1112,561,17117,4141,53,804,384,2993,2927,66,5.51194190979004,3.10333108901978,1.23858201503754,1.60237598419189,-0.138728097081184
"Boana rosenbergi",-79.85,-0.033333,2967,2973,2963,14396,3114,148,910,8523,601,59,848,395,3006,2936,70,2.97729301452637,-1.11525702476501,1.68781304359436,-0.475673288106918,-0.97170352935791
"Boana rosenbergi",-76.981849,4.002628,2984,2989,2981,61466,7138,2741,247,19834,9859,45,757,345,3014,2955,59,7.89516687393188,7.4675760269165,-0.985490798950195,1.93880605697632,1.71171200275421
"Boana rosenbergi",-76.968401,3.942106,2984,2988,2980,65535,7560,2913,246,21238,10598,43,760,335,3012,2956,56,8.36585235595703,8.12979698181152,-0.997082829475403,2.26217794418335,1.89408898353577
"Boana rosenbergi",-79.058056,-0.292778,2954,2960,2950,37183,6298,901,643,17909,3415,47,794,356,2982,2923,59,5.37208223342896,2.78525900840759,1.82738697528839,1.76372897624969,-0.661271691322327
"Boana rosenbergi",-79.2667,0.1167,2977,2982,2973,24956,4242,505,699,12391,1985,59,836,320,3012,2941,71,4.15186500549316,0.458790510892868,1.16680896282196,0.413498997688293,-0.588396787643433
"Boana rosenbergi",-84.13068,9.43082,2990,2996,2986,58682,8305,1163,505,23031,4131,32,667,427,3016,2968,48,7.5399341583252,4.23668384552002,0.906249701976776,3.7692859172821,-1.16218900680542
"Boana rosenbergi",-79.4294,-0.624444,2968,2977,2958,31272,5516,488,768,16414,2112,50,705,719,3003,2932,71,4.67313289642334,1.23274803161621,1.60865497589111,1.74299597740173,-1.16030597686768
"Boana rosenbergi",-79.1336,-0.258611,2955,2961,2950,38679,6697,828,682,19184,3261,50,794,396,2985,2922,63,5.55496692657471,2.71906495094299,2.00698304176331,2.24532699584961,-0.64341002702713
"Boana rosenbergi",-79.73156,9.149713,2990,2994,2986,30674,4792,259,582,12269,1254,52,801,317,3028,2963,65,4.53629302978516,0.272643208503723,0.878402411937714,0.836928427219391,-1.24411404132843
"Boana rosenbergi",-79.366699,-0.55,2968,2977,2959,33114,5801,551,749,17154,2372,51,713,663,3004,2932,72,4.90016508102417,1.50060105323792,1.5944550037384,1.94782197475433,-1.03190195560455
"Boana rosenbergi",-79.683333,9.083333,2991,2995,2987,26127,3879,200,589,10509,979,48,800,315,3027,2967,60,4.07967805862427,-0.181791692972183,0.733388423919678,0.12474449723959,-1.44754004478455
"Boana rosenbergi",-79.570014,9.008868,2994,2998,2990,22499,3240,137,609,9108,680,45,784,311,3029,2972,57,3.73319792747498,-0.625899374485016,0.59041428565979,-0.350176095962524,-1.64795100688934
