"species","lon","lat","bio_1","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","pc_1","pc_2","pc_3","pc_4","pc_5"
"Dendropsophus ebraccatus",-75.01498,6.252265,2951,2956,2947,42262,5037,1519,337,14098,5437,78,815,367,3003,2907,96,4.83870315551758,3.83446788787842,0.373549997806549,0.805557787418365,1.34012603759766
"Dendropsophus ebraccatus",-79.047095,0.041766,2952,2958,2949,38055,6250,971,599,17372,3691,51,801,357,2981,2917,64,5.30257081985474,2.97968697547913,1.7158499956131,1.65715003013611,-0.409180790185928
"Dendropsophus ebraccatus",-74.506972,6.069611,3015,3025,3003,20487,2753,652,390,7089,2595,94,773,797,3083,2961,122,3.28683090209961,-0.482328087091446,-1.3152049779892,-0.406392008066177,0.843332588672638
"Dendropsophus ebraccatus",-84.722413,10.488631,2956,2965,2945,39056,4761,933,430,13830,3342,63,626,717,3014,2914,100,4.21330308914185,2.51297092437744,0.482135504484177,1.19088900089264,-0.275145202875137
"Dendropsophus ebraccatus",-84.010992,10.428674,2977,2984,2966,39040,4447,1545,301,12277,5058,64,708,726,3025,2935,90,4.75523900985718,3.33396100997925,-0.597852528095245,0.39228481054306,0.645023226737976
"Dendropsophus ebraccatus",-79.7,9.116667,2990,2994,2987,27118,4110,218,586,10882,1058,50,786,292,3028,2964,64,4.13940715789795,-0.0676352232694626,0.747566401958466,0.321500211954117,-1.37493300437927
"Dendropsophus ebraccatus",-84.184393,14.512578,2984,2996,2969,26218,3889,495,525,10925,2106,71,645,1013,3045,2935,110,3.50450491905212,0.382343798875809,-0.0263870693743229,0.656598627567291,-0.435790598392487
"Dendropsophus ebraccatus",-91.127021,16.749782,2973,2993,2947,24512,3905,504,662,11558,1768,77,568,1766,3046,2910,136,3.01119804382324,0.181029304862022,0.162060305476189,1.15809595584869,-0.369462609291077
"Dendropsophus ebraccatus",-84.154849,9.403755,2985,2991,2981,55940,7976,1073,514,22086,3792,29,652,427,3009,2964,45,7.18457698822021,3.99845290184021,1.03626096248627,3.44611597061157,-1.4135639667511
"Dendropsophus ebraccatus",-84.42,15.13,2985,2997,2969,30010,4355,669,476,11845,2738,72,663,1080,3043,2934,109,3.90992093086243,1.01131403446198,-0.119509100914001,0.905978322029114,-0.163582906126976
"Dendropsophus ebraccatus",-75.047944,5.967626,2985,2990,2979,34356,4277,1581,311,11483,5596,85,783,427,3046,2938,108,4.61982297897339,2.84093999862671,-0.923125326633453,0.241775304079056,1.68944799900055
"Dendropsophus ebraccatus",-74.501991,6.484776,3003,3010,2993,25923,3272,617,401,9066,2714,86,772,647,3066,2955,111,3.6620728969574,0.1437136977911,-0.748770892620087,0.019213480874896,0.521136522293091
"Dendropsophus ebraccatus",-84.611973,9.756769,2987,2994,2982,32812,5513,237,717,15540,904,37,655,466,3022,2966,56,4.90617895126343,0.541211187839508,1.25395500659943,1.76199102401733,-2.10494995117188
"Dendropsophus ebraccatus",-74.852667,6.227556,2963,2969,2957,41062,4965,1401,347,13866,5155,82,817,441,3018,2918,100,4.84955787658691,3.31099891662598,0.121156603097916,0.903119683265686,1.3614250421524
"Dendropsophus ebraccatus",-83.298207,8.389043,2984,2991,2978,40879,6621,739,559,16823,2762,20,596,476,3004,2971,33,5.83531999588013,2.56542611122131,0.923335671424866,1.93776595592499,-2.18857502937317
"Dendropsophus ebraccatus",-84.35,15.2,2987,2999,2971,30360,4307,686,469,11680,2757,71,659,1089,3044,2936,108,3.93514394760132,1.02603197097778,-0.197618499398232,0.866009771823883,-0.188436701893806
"Dendropsophus ebraccatus",-83.370331,10.147348,2981,2988,2971,42647,5100,2114,273,13808,7519,55,718,686,3016,2940,76,5.68456506729126,4.98513221740723,-0.998864889144897,0.408705204725266,1.18578505516052
"Dendropsophus ebraccatus",-83.188914,8.643178,2985,2990,2980,49176,7406,1033,515,19158,3856,42,697,409,3020,2960,60,6.52826118469238,3.34377694129944,0.784838020801544,2.79893708229065,-0.836123704910278
"Dendropsophus ebraccatus",-93.597222,16.9,2946,2966,2919,15488,2781,330,616,6987,1259,74,543,1836,3017,2880,137,1.55154395103455,-0.198684200644493,0.510249197483063,-0.222986400127411,-0.714134812355042
"Dendropsophus ebraccatus",-95.050833,18.591944,2979,2999,2950,28138,4975,519,601,12799,1944,35,380,1961,3022,2931,91,3.71351194381714,1.22164404392242,0.146352395415306,1.39602899551392,-2.21992897987366
"Dendropsophus ebraccatus",-90.68893,15.95443,2977,2996,2954,29421,4271,827,527,12052,2668,77,575,1652,3048,2915,133,3.51660203933716,1.10548496246338,-0.273789912462234,1.2055139541626,-0.00172147795092314
"Dendropsophus ebraccatus",-74.809083,6.210667,2977,2984,2970,40290,4928,1350,350,13692,5012,83,823,487,3034,2933,101,4.99699687957764,2.9180850982666,-0.218570798635483,0.963910818099976,1.35608303546906
"Dendropsophus ebraccatus",-84.37,15.18,2986,2997,2970,30853,4402,694,471,11954,2806,72,662,1069,3043,2935,108,3.97882103919983,1.09463500976562,-0.136494800448418,0.942168712615967,-0.136657699942589
"Dendropsophus ebraccatus",-82.959117,8.784468,2927,2931,2923,55931,8503,1029,541,22033,3918,62,719,321,2975,2889,86,6.10302400588989,4.50047206878662,2.45237803459167,3.77060794830322,-0.14388319849968
"Dendropsophus ebraccatus",-74.7575,7.65,2996,2999,2991,36496,4598,815,450,13289,3084,69,815,352,3039,2955,84,4.91284418106079,1.45177102088928,0.0662781968712807,0.908638417720795,0.11647679656744
"Dendropsophus ebraccatus",-88.974878,17.097062,2982,2999,2957,18263,2518,490,444,6758,1721,77,590,1737,3049,2919,130,2.23496699333191,-0.242702499032021,-0.659590303897858,-0.407013595104218,-0.35510578751564
"Dendropsophus ebraccatus",-84.23,14.85,2983,2995,2967,28694,4092,582,495,11402,2447,70,639,1080,3043,2934,109,3.68825888633728,0.772354483604431,-0.0777481570839882,0.7863609790802,-0.371857792139053
"Dendropsophus ebraccatus",-74.6436,6.5469,2980,2987,2972,31532,4041,770,402,11093,3279,86,809,533,3040,2934,106,3.99345302581787,1.19328200817108,-0.0303663108497858,0.452074110507965,0.742558479309082
"Dendropsophus ebraccatus",-84.08,10.03,2912,2920,2904,31898,4469,840,494,12435,2884,69,682,572,2971,2870,101,3.12960600852966,2.50034999847412,1.73278498649597,0.53255432844162,-0.130954802036285
"Dendropsophus ebraccatus",-77.0755,5.64194,2975,2979,2972,65535,6805,3776,144,18754,13266,47,788,265,3006,2947,59,8.32703399658203,9.73174095153809,-1.86520397663116,1.10740399360657,3.24866199493408
"Dendropsophus ebraccatus",-84.531,9.725,2971,2977,2966,40300,6792,304,710,18929,1153,44,698,405,3010,2947,63,5.47398805618286,1.40089201927185,1.94055104255676,2.81565403938293,-1.76049697399139
"Dendropsophus ebraccatus",-79.419,9.1671,2963,2967,2959,34635,5219,225,619,14218,974,55,786,321,3003,2933,70,4.39618301391602,0.796661376953125,1.76517999172211,1.3613760471344,-1.27434694766998
"Dendropsophus ebraccatus",-82.1571,8.946,2988,2994,2980,26339,2873,1248,265,8201,4083,38,698,559,3015,2961,54,4.0095272064209,2.21079707145691,-0.868242919445038,-1.36751902103424,-0.673849284648895
"Dendropsophus ebraccatus",-84.3774,9.5188,2990,2997,2985,39775,6343,448,628,17474,1683,32,665,473,3018,2970,48,5.68599319458008,1.54690897464752,1.14567899703979,2.24266290664673,-2.03768396377563
"Dendropsophus ebraccatus",-80.1187,8.6299,2947,2951,2942,28891,4120,347,560,11436,1397,57,799,350,2989,2918,71,3.56038904190063,0.895993292331696,1.67179703712463,0.230110600590706,-0.989664018154144
"Dendropsophus ebraccatus",-79.665795,9.082816,2988,2992,2984,25565,3773,191,591,10289,936,48,804,309,3024,2964,60,3.97542309761047,-0.199350193142891,0.799800872802734,0.0266505591571331,-1.45345103740692
"Dendropsophus ebraccatus",-76.67328,7.77937,2992,2997,2989,30739,3648,905,358,10102,3188,60,839,312,3030,2959,71,4.40046501159668,1.39630699157715,-0.25500699877739,-0.339843690395355,-0.0760634168982506
"Dendropsophus ebraccatus",-84.45,14.7169,2985,2998,2969,25131,3767,514,508,10434,2177,70,627,1105,3047,2935,112,3.39419889450073,0.368822813034058,-0.187382698059082,0.528325915336609,-0.469129800796509
"Dendropsophus ebraccatus",-83.5013,8.6909,2989,2997,2984,42320,6670,681,564,17535,2622,47,674,535,3032,2963,69,5.79553318023682,2.03204894065857,0.7416130900383,2.506756067276,-1.13697397708893
"Dendropsophus ebraccatus",-83.701,9.123,2987,2993,2982,62781,8738,1486,484,24379,5034,33,662,439,3016,2966,50,7.97325992584229,5.10746812820435,0.772464215755463,4.07717180252075,-0.746317386627197
"Dendropsophus ebraccatus",-83.477,8.8892,2987,2996,2981,40721,6319,666,556,16701,2544,61,680,606,3041,2952,89,5.37796592712402,1.70853400230408,0.592051088809967,2.44252109527588,-0.625773370265961
"Dendropsophus ebraccatus",-83.5,10.2318,2980,2987,2969,41148,4712,2126,262,13135,6779,66,716,737,3024,2932,92,5.26188898086548,4.5390100479126,-1.08068001270294,0.353392392396927,1.45846605300903
"Dendropsophus ebraccatus",-83.650147,10.443304,2982,2989,2972,45165,5215,1896,298,14164,6443,55,716,665,3020,2943,77,5.6906681060791,4.50790405273438,-0.746647417545319,0.763397395610809,0.821609497070312
"Dendropsophus ebraccatus",-79.20741,0.53207,2969,2974,2965,30356,4917,850,607,13976,3037,58,829,328,3005,2935,70,4.64771413803101,1.69001603126526,1.08151602745056,0.735536515712738,-0.242466703057289
"Dendropsophus ebraccatus",-83.977417,10.41025,2978,2985,2967,38369,4357,1561,293,12067,5100,63,712,723,3025,2936,89,4.73550891876221,3.32756304740906,-0.655625522136688,0.280418187379837,0.635730922222137
"Dendropsophus ebraccatus",-83.557,10.0134,2945,2953,2933,48163,4821,2700,191,14198,8404,62,722,862,2984,2898,86,5.37691402435303,6.59249496459961,-0.676091611385345,0.159652099013329,1.99170100688934
"Dendropsophus ebraccatus",-75.933333,9.2,3004,3009,2999,14034,2036,96,629,5804,427,51,717,401,3043,2972,71,2.83603000640869,-1.5445259809494,-0.0363953597843647,-1.18276596069336,-1.53804397583008
"Dendropsophus ebraccatus",-89.135391,17.844855,2988,3007,2964,13918,1991,358,526,5460,1183,85,596,1730,3064,2922,142,1.83325099945068,-1.14975798130035,-0.797142088413239,-0.577634990215302,-0.191058993339539
"Dendropsophus ebraccatus",-74.78972,7.77092,2998,3001,2993,33357,4287,684,463,12366,2708,65,805,352,3039,2958,81,4.66318607330322,1.0397789478302,0.0589880309998989,0.623909711837769,-0.192517295479774
"Dendropsophus ebraccatus",-83.5578,15.0911,2993,3001,2981,30696,4396,578,508,11330,2351,44,646,794,3027,2959,68,4.32690811157227,1.05351901054382,0.0875333398580551,0.517057716846466,-1.3394730091095
"Dendropsophus ebraccatus",-83.5978,15.0742,2992,3001,2980,30314,4316,579,504,11139,2348,48,664,821,3029,2957,72,4.2522759437561,0.974925577640533,0.0672124698758125,0.484207093715668,-1.16487395763397
"Dendropsophus ebraccatus",-74.759186,7.838213,2993,2996,2989,34840,4555,677,474,13134,2748,63,803,323,3033,2954,79,4.78349208831787,1.25182402133942,0.276957303285599,0.823716282844543,-0.277972400188446
"Dendropsophus ebraccatus",-74.3242,5.8562,2991,2998,2984,26895,3708,1040,400,9244,4059,89,806,536,3050,2940,110,3.88390398025513,1.20151495933533,-0.651876628398895,-0.0987754091620445,1.22560095787048
"Dendropsophus ebraccatus",-84.77,14.8,2983,2996,2967,21669,3438,465,532,9390,1892,72,632,1136,3045,2931,114,3.04088306427002,0.0192387606948614,-0.133003801107407,0.227365806698799,-0.461409687995911
"Dendropsophus ebraccatus",-85.15,14.57,2984,2998,2969,21410,3600,424,595,9892,1676,75,616,1112,3054,2932,122,3.06061506271362,-0.230984807014465,-0.0908447727560997,0.54173332452774,-0.421922892332077
"Dendropsophus ebraccatus",-90.933333,16.116667,2979,2998,2955,31113,4905,725,605,13746,2459,78,583,1661,3047,2913,134,3.82847309112549,1.02672100067139,0.077337346971035,1.82719695568085,-0.0790068507194519
"Dendropsophus ebraccatus",-90.898333,16.0925,2979,2998,2955,29724,4637,707,595,13014,2392,78,586,1651,3047,2914,133,3.66487407684326,0.889391779899597,0.012743080034852,1.58331501483917,-0.0913041308522224
"Dendropsophus ebraccatus",-84.82,14.83,2984,2998,2968,21777,3502,469,541,9549,1891,73,630,1120,3048,2932,116,3.08179211616516,-0.014381930232048,-0.163714200258255,0.315273195505142,-0.422455906867981
"Dendropsophus ebraccatus",-84.52,14.9,2982,2994,2966,26423,3960,561,498,10868,2360,71,645,1096,3042,2932,110,3.51030802726746,0.613650381565094,-0.0667178928852081,0.610809624195099,-0.353739202022552
"Dendropsophus ebraccatus",-74.0608,6.6517,3001,3005,2995,31925,4040,902,361,11157,3904,71,804,430,3048,2960,88,4.58557319641113,1.45756900310516,-0.589296579360962,0.212622493505478,0.408758908510208
"Dendropsophus ebraccatus",-74.53143,6.30314,3013,3021,3002,21268,2746,556,399,7290,2326,85,770,705,3074,2963,111,3.35252809524536,-0.462827414274216,-1.07473695278168,-0.462100505828857,0.389082014560699
"Dendropsophus ebraccatus",-76.118424,7.89598,2974,2977,2970,23970,3142,590,455,8634,2083,73,799,270,3022,2931,91,3.26675796508789,0.44288569688797,0.350202798843384,-0.511400699615479,-0.0597251616418362
"Dendropsophus ebraccatus",-84.669063,10.350722,2941,2950,2932,38198,5260,859,503,14962,2838,69,636,682,3005,2897,108,4.06240177154541,2.42556309700012,1.12769198417664,1.620934009552,-0.202572301030159
"Dendropsophus ebraccatus",-93.2125,15.885556,2941,2952,2930,26144,5577,31,981,15109,202,99,678,873,3017,2871,146,3.04783201217651,-0.5062136054039,2.51659488677979,2.6351170539856,-0.0344241186976433
"Dendropsophus ebraccatus",-73.4237,6.18706,2906,2909,2903,29619,3778,1220,309,9503,4568,90,886,229,2956,2854,102,2.89792108535767,3.18008708953857,1.44406497478485,-0.766408979892731,1.50357604026794
"Dendropsophus ebraccatus",-90.969296350713,16.9017349726798,2987,3010,2960,22139,3676,419,670,10483,1490,81,554,1913,3068,2921,147,2.88741493225098,-0.465049296617508,-0.326235800981522,1.12842905521393,-0.325424700975418
"Dendropsophus ebraccatus",-93.590556,16.1075,2905,2913,2895,21503,4564,20,987,12204,146,95,687,710,2978,2840,138,1.96494805812836,-0.298243999481201,3.23355603218079,1.46421301364899,-0.153690800070763
"Dendropsophus ebraccatus",-74.337458,5.464831,2933,2936,2930,22457,2888,1031,343,7442,3909,73,831,261,2975,2887,88,2.72933888435364,2.11511492729187,0.771280884742737,-1.46007597446442,0.606717586517334
"Dendropsophus ebraccatus",-89.289722,18.033333,2987,3005,2963,13050,1923,335,534,5178,1155,87,604,1727,3064,2920,144,1.73104202747345,-1.2479909658432,-0.758108973503113,-0.641138672828674,-0.120591297745705
"Dendropsophus ebraccatus",-89.292778,18.058333,2982,3000,2958,12971,1917,333,534,5157,1151,87,603,1711,3060,2915,145,1.64619100093842,-1.17834401130676,-0.648201525211334,-0.665600895881653,-0.125232294201851
"Dendropsophus ebraccatus",-89.451944,18.259722,2983,3001,2959,11295,1763,278,543,4583,1020,90,618,1731,3062,2916,146,1.49911201000214,-1.44105398654938,-0.65523487329483,-0.796271026134491,-0.049196470528841
"Dendropsophus ebraccatus",-93.655278,16.125278,2967,2978,2953,20030,4344,17,990,11296,123,93,645,988,3043,2899,144,2.66756296157837,-1.43145394325256,1.50464403629303,1.65402901172638,-0.230746999382973
"Dendropsophus ebraccatus",-85.35,15.3,2950,2962,2932,22915,3198,646,451,8786,2235,75,650,1230,3010,2895,115,2.49435496330261,0.924462974071503,0.429822087287903,-0.221643298864365,-0.176875695586205
"Dendropsophus ebraccatus",-75.28174,7.48678,2992,2997,2987,34111,4612,557,516,13367,2449,70,812,384,3037,2951,86,4.66353511810303,0.893475413322449,0.415581285953522,1.04251098632812,-0.148661196231842
"Dendropsophus ebraccatus",-75.363266,7.192741,2927,2930,2924,48189,6300,1118,455,17983,4617,73,850,252,2969,2883,86,5.19936323165894,4.07201814651489,1.96318602561951,1.94016802310944,0.702911615371704
"Dendropsophus ebraccatus",-79.5,9.1333,2986,2991,2982,26177,3795,174,610,10608,788,53,781,344,3027,2959,68,3.87954592704773,-0.282816797494888,0.832204818725586,0.239733099937439,-1.34361505508423
"Dendropsophus ebraccatus",-74.643,6.03366,3011,3020,3001,24656,3313,839,374,8718,3248,91,781,709,3078,2961,117,3.78821110725403,0.278185307979584,-1.22154498100281,-0.0604658089578152,0.97977751493454
"Dendropsophus ebraccatus",-93.755555,17.058333,2963,2985,2934,21622,3642,523,514,8949,2154,68,506,1982,3032,2898,134,2.4556040763855,0.587292313575745,-0.113441199064255,0.409613311290741,-0.733321487903595
"Dendropsophus ebraccatus",-73.2,6.051372,2898,2901,2897,36946,4688,1712,300,11711,6405,101,893,171,2957,2844,113,3.58535099029541,4.60492897033691,1.32941198348999,-0.0860305577516556,2.59793210029602
"Dendropsophus ebraccatus",-79.5833,8.95,2994,2998,2990,24120,3493,141,610,9779,723,41,775,300,3027,2974,53,3.93404197692871,-0.443024814128876,0.658176422119141,-0.16677750647068,-1.80701398849487
"Dendropsophus ebraccatus",-95.082778,18.633056,2977,2997,2949,28438,5100,518,606,12994,1919,31,363,1915,3017,2931,86,3.76235604286194,1.33460998535156,0.244144901633263,1.42536902427673,-2.40367603302002
"Dendropsophus ebraccatus",-93.747222,17.1125,2968,2990,2939,22384,3718,563,496,9209,2329,67,500,1993,3037,2903,134,2.61568593978882,0.677856028079987,-0.291732102632523,0.480868101119995,-0.719921290874481
"Dendropsophus ebraccatus",-90.1,16.75,2984,3007,2957,20993,3187,418,554,8591,1602,85,558,1925,3067,2915,152,2.47785496711731,-0.453245311975479,-0.608782708644867,0.589590191841125,-0.163656398653984
"Dendropsophus ebraccatus",-79.034722,0.083333,2953,2958,2949,38870,6305,1028,585,17486,3876,51,803,366,2981,2917,64,5.38460493087769,3.1422700881958,1.65839505195618,1.67291402816772,-0.334659904241562
"Dendropsophus ebraccatus",-83.0433660984918,9.99217737031904,2985,2990,2976,37939,4894,1475,303,12765,7091,34,654,582,3009,2957,52,5.43510389328003,4.21043491363525,-0.745961487293243,0.0764904990792274,-0.18902949988842
"Dendropsophus ebraccatus",-84.839,15.6653,2986,2997,2970,26533,3564,808,390,9100,2972,61,645,1088,3034,2940,94,3.55926203727722,1.15731596946716,-0.513244211673737,-0.144581496715546,-0.437211006879807
"Dendropsophus ebraccatus",-93.255556,17.631944,2986,3009,2955,24731,3927,640,481,10302,2482,80,541,2132,3061,2914,147,3.02572202682495,0.495929002761841,-0.748668789863586,0.960204303264618,-0.110386103391647
"Dendropsophus ebraccatus",-88.7798510443371,17.2007514579988,2986,3003,2962,18225,2423,440,437,6465,1686,70,577,1713,3047,2925,122,2.29472994804382,-0.27539798617363,-0.723104476928711,-0.545722603797913,-0.669827103614807
"Dendropsophus ebraccatus",-95.089722,18.583611,2973,2994,2945,31659,5655,571,608,14521,2187,37,395,1963,3018,2924,94,4.06256294250488,1.66355895996094,0.410289406776428,1.94082605838776,-2.07154297828674
