"species","lon","lat","bio_1","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","pc_1","pc_2","pc_3","pc_4","pc_5"
"Dryophytes arenicolor",-110.686494,32.339633,2897,2987,2805,5163,948,95,623,2405,347,135,421,7170,3058,2738,320,-2.14749002456665,-1.71567296981812,-0.714041829109192,0.417192012071609,0.96611088514328
"Dryophytes arenicolor",-101.200105,19.673154,2912,2937,2885,7136,1591,65,976,4308,302,126,630,1975,3011,2811,200,-0.324526697397232,-1.9174120426178,1.64257705211639,-0.28553581237793,1.08299601078033
"Dryophytes arenicolor",-104.024541,30.679845,2866,2940,2784,5209,967,128,694,2616,490,121,429,6162,3012,2730,282,-2.23637390136719,-0.986818015575409,0.537930071353912,-0.113719902932644,0.538231313228607
"Dryophytes arenicolor",-108.941096,27.065762,2959,3012,2898,7622,2102,33,1104,5399,190,145,525,4542,3096,2821,275,-0.145038902759552,-3.1450560092926,-0.174786195158958,1.46284902095795,1.60990798473358
"Dryophytes arenicolor",-113.062249,34.479288,2938,3042,2838,3600,549,49,486,1267,265,132,393,8018,3111,2776,335,-1.87537503242493,-2.47927689552307,-2.39150595664978,0.409197807312012,0.765206515789032
"Dryophytes arenicolor",-112.974236,37.216844,2863,2983,2747,3651,482,86,351,1330,510,138,366,9155,3063,2687,376,-3.32280707359314,-1.15485596656799,-1.39679598808289,0.341996699571609,0.923696875572205
"Dryophytes arenicolor",-113.413475,37.228941,2894,3015,2779,2937,422,68,429,1175,333,131,354,9191,3089,2720,369,-2.82946300506592,-1.78760397434235,-2.00587511062622,0.450450390577316,0.654370903968811
"Dryophytes arenicolor",-110.494236,31.605824,2895,2977,2810,3962,946,61,860,2264,299,139,445,6588,3056,2743,313,-2.10297298431396,-2.16072511672974,-0.128901198506355,0.494399607181549,1.21692597866058
"Dryophytes arenicolor",-104.076902,20.304015,2890,2917,2859,11727,2974,61,1082,7685,287,135,596,2207,3010,2783,227,-0.126935303211212,-1.42593395709991,2.37875604629517,1.11626195907593,1.33678603172302
"Dryophytes arenicolor",-102.70689,21.187693,2934,2968,2897,7055,1979,30,1146,4869,158,132,577,2675,3046,2818,228,-0.120224602520466,-2.62885499000549,1.12206101417542,0.581753373146057,1.23130202293396
"Dryophytes arenicolor",-105.811856,36.167297,2822,2928,2714,3730,615,190,440,1541,611,135,374,8295,3006,2646,360,-3.76005411148071,-0.287123590707779,0.107127398252487,-0.0221270509064198,0.92047917842865
"Dryophytes arenicolor",-112.45108,36.19632,2906,3019,2796,3396,485,78,374,1133,412,132,368,8663,3097,2739,358,-2.53719711303711,-1.84119594097137,-2.20664811134338,0.348901897668839,0.731962502002716
"Dryophytes arenicolor",-112.88651,36.25455,2913,3028,2802,2370,345,65,377,818,290,128,358,8785,3102,2744,358,-2.52632403373718,-2.01884794235229,-2.41406393051147,0.264906406402588,0.546807110309601
"Dryophytes arenicolor",-103.894625,30.588408,2892,2968,2808,4522,818,119,669,2220,445,129,442,6317,3041,2750,291,-2.02934002876282,-1.56157600879669,-0.20557889342308,-0.0124803502112627,0.844399273395538
"Dryophytes arenicolor",-104.151619,24.734546,2899,2945,2846,5902,1387,50,1028,3850,190,136,556,3888,3014,2770,244,-1.18225300312042,-2.04073596000671,1.4111510515213,0.160874307155609,1.27943801879883
"Dryophytes arenicolor",-107.843513,28.335662,2864,2921,2803,6488,1637,104,1001,4225,395,143,550,4663,3000,2740,260,-1.69972705841064,-1.46850001811981,1.83242404460907,0.389334112405777,1.55944502353668
"Dryophytes arenicolor",-110.780817,32.608195,2897,2989,2805,6128,1092,96,582,2702,420,132,416,7206,3059,2741,318,-2.02469897270203,-1.55963397026062,-0.798289716243744,0.482885092496872,0.845616698265076
"Dryophytes arenicolor",-108.421589,35.37671,2814,2920,2707,4422,784,180,456,1856,652,125,363,8266,2996,2652,344,-3.63730001449585,-0.0229924693703651,0.367389410734177,-0.0577437505125999,0.536697804927826
"Dryophytes arenicolor",-108.441474,35.359719,2805,2914,2697,4584,803,185,451,1913,673,125,359,8433,2990,2641,349,-3.78646993637085,0.1325424015522,0.497660011053085,-0.0343674495816231,0.529065370559692
"Dryophytes arenicolor",-110.910865,31.626185,2898,2981,2813,5136,1278,75,844,2879,358,139,444,6628,3057,2744,313,-1.90294599533081,-2.03854703903198,-0.158406898379326,0.72120201587677,1.21312999725342
"Dryophytes arenicolor",-110.569689,32.110465,2900,2989,2807,3927,791,79,677,1943,276,142,433,7166,3062,2735,327,-2.29364800453186,-2.02556991577148,-0.707778096199036,0.404956698417664,1.23979699611664
"Dryophytes arenicolor",-103.917446,30.805514,2893,2969,2810,4965,894,119,680,2475,468,123,433,6259,3040,2756,284,-1.88102900981903,-1.48546600341797,-0.187148600816727,0.00211632205173373,0.620855689048767
"Dryophytes arenicolor",-103.824571,30.466927,2891,2968,2806,4360,770,119,660,2120,436,131,444,6366,3041,2746,295,-2.10710597038269,-1.57520401477814,-0.225507900118828,-0.0217279493808746,0.914810121059418
"Dryophytes arenicolor",-104.105243,30.706013,2872,2947,2790,5448,1028,129,706,2760,497,120,426,6185,3018,2737,281,-2.09509110450745,-1.07284498214722,0.405664294958115,-0.0261920392513275,0.50485622882843
"Dryophytes arenicolor",-101.251703,20.994266,2904,2935,2871,6277,1562,72,983,3863,336,129,616,2425,3007,2797,210,-0.629579186439514,-1.8775030374527,1.66792702674866,-0.270394891500473,1.17193698883057
"Dryophytes arenicolor",-110.873684,31.712705,2877,2960,2791,6133,1506,94,834,3458,426,139,443,6672,3036,2722,314,-2.10619401931763,-1.54662299156189,0.379433810710907,0.789488673210144,1.2059839963913
"Dryophytes arenicolor",-111.446702,33.518952,2939,3043,2837,3391,437,25,485,1228,231,146,415,8090,3116,2764,352,-2.0826621055603,-2.700364112854,-2.42386794090271,0.537654221057892,1.28106999397278
"Dryophytes arenicolor",-111.945763,33.899509,2936,3039,2835,3257,426,29,487,1231,223,135,397,8017,3111,2770,341,-2.00707697868347,-2.53815388679504,-2.35079789161682,0.395671010017395,0.863715529441833
"Dryophytes arenicolor",-103.330714,29.280717,2906,2982,2819,4265,747,113,639,2040,433,137,455,6418,3048,2748,300,-2.01475501060486,-1.79869604110718,-0.508238077163696,0.033604059368372,1.12845897674561
"Dryophytes arenicolor",-103.397226,20.789218,2935,2965,2903,9380,2499,34,1168,6526,155,132,578,2350,3051,2822,229,0.265509814023972,-2.48322892189026,1.28952395915985,1.0640230178833,1.23683297634125
"Dryophytes arenicolor",-107.841,32.874,2845,2933,2755,5021,1043,141,701,2673,531,125,407,6964,3007,2700,307,-2.70761799812317,-0.766477108001709,0.656605899333954,0.133707895874977,0.650163114070892
"Dryophytes arenicolor",-101.332741,19.618012,2871,2895,2844,9874,2183,96,963,5921,421,122,629,1965,2967,2773,194,-0.549597203731537,-0.860204815864563,2.79772305488586,-0.088491253554821,0.911795020103455
"Dryophytes arenicolor",-99.070938,19.591764,2892,2916,2865,7690,1603,66,911,4433,274,126,645,1974,2980,2785,195,-0.631034374237061,-1.40197098255157,2.20433497428894,-0.502924203872681,1.03659200668335
"Dryophytes arenicolor",-110.69027,36.665935,2841,2957,2729,2992,410,66,338,1046,414,113,321,8856,3029,2677,352,-3.49141907691956,-0.527796924114227,-0.776884198188782,-0.171718895435333,-0.0902778431773186
"Dryophytes arenicolor",-107.745179,33.331446,2839,2925,2751,4452,1028,137,799,2495,460,132,427,6810,3002,2694,308,-2.84064102172852,-0.942618429660797,1.01283597946167,0.173882201313972,0.949259877204895
"Dryophytes arenicolor",-109.873356,32.699513,2780,2873,2686,5297,1086,154,671,2659,487,134,410,7339,2949,2623,326,-3.88134098052979,0.243079006671906,2.07223296165466,-0.00282547390088439,0.911515414714813
"Dryophytes arenicolor",-100.802612,21.804751,2904,2935,2867,4280,790,100,699,2116,359,128,593,2709,3010,2794,216,-1.14423203468323,-1.65917694568634,0.94662868976593,-1.04340696334839,1.06030201911926
"Dryophytes arenicolor",-110.683035,32.210677,2930,3021,2836,3600,694,68,647,1731,243,138,422,7289,3092,2766,326,-1.87085700035095,-2.49377608299255,-1.55553495883942,0.461229205131531,1.08095097541809
"Dryophytes arenicolor",-101.170289,22.46574,2893,2924,2852,4293,737,78,676,1987,414,130,600,2898,2998,2782,216,-1.38299000263214,-1.46657204627991,1.18761003017426,-1.13573503494263,1.11425304412842
"Dryophytes arenicolor",-101.199149,22.427346,2893,2923,2853,4042,705,73,684,1891,385,129,600,2836,2997,2782,215,-1.39372599124908,-1.48964095115662,1.22017502784729,-1.18073105812073,1.07528102397919
"Dryophytes arenicolor",-100.173802,19.807721,2870,2895,2840,9807,2390,81,992,6018,434,127,641,2146,2963,2765,198,-0.593523025512695,-0.891247093677521,2.94135594367981,0.0662331804633141,1.08946597576141
"Dryophytes arenicolor",-102.015351,19.181496,2981,3004,2956,9053,1991,24,1038,5733,165,127,621,1808,3079,2875,204,0.963915824890137,-3.04054188728333,0.224928393959999,0.556267380714417,1.10953795909882
"Dryophytes arenicolor",-102.913692,20.853506,2936,2968,2903,7617,2072,30,1150,5260,149,129,579,2488,3048,2825,223,0.0587226301431656,-2.60192704200745,1.14032995700836,0.631915271282196,1.13032400608063
"Dryophytes arenicolor",-99.440833,20.706611,2911,2938,2879,6124,1130,76,798,3218,359,120,610,2324,3008,2811,197,-0.603828310966492,-1.67314600944519,1.21761405467987,-0.814733624458313,0.801815688610077
"Dryophytes arenicolor",-99.3465,20.640528,2902,2928,2871,5898,1072,75,776,3036,365,119,613,2262,2997,2803,194,-0.758427381515503,-1.49377501010895,1.4288649559021,-0.974862515926361,0.757323384284973
"Dryophytes arenicolor",-104.02309,20.294974,2874,2901,2843,11907,3016,61,1084,7817,283,136,594,2220,2995,2767,228,-0.363981008529663,-1.16219401359558,2.7750461101532,1.09128701686859,1.35502099990845
"Dryophytes arenicolor",-100.342694,21.910799,2903,2934,2861,6792,1308,139,746,3428,495,112,564,2947,3000,2802,198,-0.707612812519073,-1.19815504550934,1.17491400241852,-0.755907714366913,0.4716717004776
"Dryophytes arenicolor",-111.196006,31.415456,2909,2991,2825,5103,1191,66,819,2800,349,139,447,6561,3067,2757,310,-1.74655103683472,-2.20880198478699,-0.445923805236816,0.687115013599396,1.21164298057556
"Dryophytes arenicolor",-111.832611,33.904616,2904,3007,2807,4044,523,37,480,1511,273,141,413,7850,3080,2739,341,-2.42914891242981,-2.01105690002441,-1.52636504173279,0.324959486722946,1.08540904521942
"Dryophytes arenicolor",-101.72233,22.531869,2896,2928,2856,3609,700,50,757,1874,278,128,598,2866,2999,2785,214,-1.35000503063202,-1.70327496528625,1.26562798023224,-1.10376405715942,1.02271497249603
"Dryophytes arenicolor",-101.711692,22.472757,2891,2923,2851,3692,718,53,755,1919,292,128,597,2859,2994,2780,214,-1.4169420003891,-1.60331904888153,1.38623201847076,-1.11816501617432,1.02056503295898
"Dryophytes arenicolor",-110.887998,32.423137,2924,3015,2831,4351,785,75,601,1967,294,130,409,7249,3085,2767,318,-1.80844795703888,-2.18138790130615,-1.47871398925781,0.384896814823151,0.766599774360657
"Dryophytes arenicolor",-111.991756,36.049087,2888,2999,2779,2767,426,67,386,964,336,133,370,8575,3081,2723,358,-2.86313796043396,-1.64768302440643,-1.73970198631287,0.211833998560905,0.7476646900177
"Dryophytes arenicolor",-103.83539,30.539677,2890,2967,2805,4181,746,112,664,2040,413,131,445,6360,3040,2746,294,-2.13526010513306,-1.59225904941559,-0.193217307329178,-0.0496270507574081,0.908123314380646
"Dryophytes arenicolor",-108.85125,26.900889,2971,3022,2911,7050,1946,37,1092,4941,181,139,521,4419,3105,2839,266,0.0388518907129765,-3.30834698677063,-0.480997890233994,1.27731394767761,1.40496301651001
"Dryophytes arenicolor",-108.85375,26.8515,2969,3020,2908,6816,1875,34,1101,4805,166,137,520,4432,3102,2838,264,-0.00738985184580088,-3.29078602790833,-0.423856794834137,1.20335102081299,1.33004999160767
"Dryophytes arenicolor",-108.773232,31.601639,2872,2958,2782,4424,922,98,716,2290,412,132,419,6927,3032,2718,314,-2.48095202445984,-1.4044189453125,0.0862995684146881,0.244653299450874,0.895682275295258
"Dryophytes arenicolor",-99.616722,20.560167,2929,2956,2898,4353,878,46,834,2348,240,126,626,2236,3027,2826,201,-0.550854980945587,-2.28792309761047,0.806482911109924,-0.891269981861115,1.03826403617859
"Dryophytes arenicolor",-112.042089,36.169543,2873,2985,2764,4072,628,100,391,1414,503,134,369,8588,3068,2706,362,-2.96967196464539,-1.26165795326233,-1.38595700263977,0.326792389154434,0.824073016643524
"Dryophytes arenicolor",-112.033578,36.193397,2854,2966,2745,4872,775,122,400,1738,606,134,369,8604,3049,2687,362,-3.16540694236755,-0.849330127239227,-0.892884492874146,0.344262897968292,0.841705679893494
"Dryophytes arenicolor",-108.23187,32.8842,2842,2932,2750,4361,829,130,625,2135,456,137,427,7121,3009,2688,321,-3.03508806228638,-0.862932085990906,0.528785526752472,0.0443719103932381,1.06597697734833
"Dryophytes arenicolor",-113.0263,37.298202,2833,2953,2719,4159,554,110,338,1495,618,135,363,9089,3032,2661,371,-3.67439198493958,-0.524981379508972,-0.677055180072784,0.172176003456116,0.818414628505707
"Dryophytes arenicolor",-110.302105,31.450108,2883,2964,2798,5659,1363,87,865,3244,435,140,449,6539,3044,2732,312,-2.04145002365112,-1.76345896720886,0.268643885850906,0.743648111820221,1.27764797210693
"Dryophytes arenicolor",-110.815195,32.314246,2938,3030,2843,4048,722,69,614,1871,268,134,416,7353,3099,2776,323,-1.68663394451141,-2.50253200531006,-1.81255304813385,0.482358008623123,0.924271523952484
"Dryophytes arenicolor",-109.275617,31.903425,2821,2906,2732,5813,1224,137,711,2955,577,132,421,6847,2983,2670,313,-3.0608959197998,-0.370275914669037,1.3626070022583,0.182436794042587,0.909364581108093
"Dryophytes arenicolor",-108.636361,27.13175,2917,2967,2857,11013,3046,91,1015,7234,402,141,530,4384,3049,2784,265,-0.242080107331276,-1.82606899738312,0.984387516975403,1.69468295574188,1.44531202316284
"Dryophytes arenicolor",-108.67531,33.771427,2846,2932,2758,3909,782,154,604,1904,468,138,444,6836,3012,2701,311,-2.92352509498596,-0.924297094345093,0.46804079413414,-0.115467101335526,1.14949297904968
"Dryophytes arenicolor",-99.340262,19.92078,2897,2920,2871,6868,1461,74,883,3868,311,129,650,1927,2991,2793,198,-0.659457325935364,-1.56843900680542,1.93910801410675,-0.6118203997612,1.18058204650879
"Dryophytes arenicolor",-104.307738,19.615968,2895,2913,2873,17501,4238,28,1097,11957,312,126,638,1515,2999,2802,197,1.03770804405212,-0.856837928295135,3.02567100524902,1.97176694869995,0.985735177993774
"Dryophytes arenicolor",-103.140722,22.980833,2887,2924,2842,4742,1086,34,952,2918,204,136,590,3241,2998,2767,231,-1.41661596298218,-1.85368502140045,1.73621702194214,-0.42617478966713,1.31580603122711
"Dryophytes arenicolor",-102.105501,19.427524,2904,2923,2879,13936,2960,84,986,8379,367,117,644,1718,2992,2811,181,0.566890776157379,-1.02773201465607,2.42758011817932,0.669302880764008,0.723343014717102
"Dryophytes arenicolor",-99.628,20.274,2875,2902,2845,5778,1161,56,838,3162,298,124,620,2204,2973,2773,200,-1.18925702571869,-1.23379695415497,2.19660091400146,-0.939603626728058,0.921220123767853
"Dryophytes arenicolor",-103.293182,29.257429,2869,2938,2789,4678,814,122,640,2243,470,136,477,5880,3005,2719,286,-2.40793490409851,-1.1030969619751,0.619575917720795,-0.280802011489868,1.1113920211792
"Dryophytes arenicolor",-110.997983,37.423467,2881,3008,2756,1699,269,42,403,667,232,128,325,9731,3083,2689,394,-3.34315395355225,-1.64190900325775,-1.98208200931549,0.416449904441833,0.461478114128113
"Dryophytes arenicolor",-99.9514,19.7131,2868,2890,2841,8996,2074,87,945,5323,416,123,663,1928,2956,2770,186,-0.657752275466919,-0.834433615207672,2.96997809410095,-0.370383501052856,0.974262773990631
"Dryophytes arenicolor",-98.821805,18.38125,2993,3018,2970,8625,1817,33,1058,5265,166,130,622,1887,3092,2883,209,1.02597403526306,-3.35710191726685,-0.121751300990582,0.552272319793701,1.24984097480774
"Dryophytes arenicolor",-110.57164,32.35611,2914,3005,2820,4771,900,94,643,2271,328,137,423,7257,3076,2751,325,-1.96115100383759,-2.0780029296875,-1.13535296916962,0.527423501014709,1.05901801586151
"Dryophytes arenicolor",-100.248054,21.047872,2897,2924,2867,5295,1166,59,839,2880,300,111,601,2211,2989,2805,184,-0.736524999141693,-1.46382296085358,1.67067503929138,-1.03488302230835,0.442187309265137
"Dryophytes arenicolor",-108.96253,33.278901,2848,2941,2752,5203,913,177,523,2291,546,146,436,7393,3019,2685,334,-3.03119492530823,-0.808899581432343,0.141330301761627,0.190386801958084,1.41218101978302
