"species","lon","lat"
"Rheohyla miotympanum",-96.940278,19.509167
"Rheohyla miotympanum",-96.934444,19.45
"Rheohyla miotympanum",-96.997222,19.521667
"Rheohyla miotympanum",-96.941667,19.581944
"Rheohyla miotympanum",-96.981389,19.457222
"Rheohyla miotympanum",-97.067833,17.709917
"Rheohyla miotympanum",-97.085556,17.8
"Rheohyla miotympanum",-97.119444,17.736944
"Rheohyla miotympanum",-95.073056,18.516389
"Rheohyla miotympanum",-96.870278,17.818333
"Rheohyla miotympanum",-94.70833,18.31139
"Rheohyla miotympanum",-97.133611,17.636944
"Rheohyla miotympanum",-94.910833,18.383889
"Rheohyla miotympanum",-97.436111,20.051389
"Rheohyla miotympanum",-97.501667,20.001667
"Rheohyla miotympanum",-97.535556,19.952778
"Rheohyla miotympanum",-97.502222,20.068889
"Rheohyla miotympanum",-93.8724756,16.3305058
"Rheohyla miotympanum",-95.2275,18.580556
"Rheohyla miotympanum",-99.626,21.434
"Rheohyla miotympanum",-99.066389,21.279167
"Rheohyla miotympanum",-97.0536687,18.3020694
"Rheohyla miotympanum",-97.0167239,18.33429
"Rheohyla miotympanum",-99.554444,21.2275
"Rheohyla miotympanum",-99.1075,21.158056
"Rheohyla miotympanum",-100.160833,25.250278
"Rheohyla miotympanum",-99.495967,22.9152352
"Rheohyla miotympanum",-93.925811,16.363282
"Rheohyla miotympanum",-97.591667,20.025
"Rheohyla miotympanum",-98.575573,20.581675
"Rheohyla miotympanum",-98.991667,21.391667
"Rheohyla miotympanum",-98.033319,20.477984
"Rheohyla miotympanum",-98.091667,20.475
"Rheohyla miotympanum",-98.658333,20.641667
"Rheohyla miotympanum",-99.896667,20.938333
"Rheohyla miotympanum",-98.241667,20.341667
"Rheohyla miotympanum",-95.791667,17.475
"Rheohyla miotympanum",-97.059898,19.050301
"Rheohyla miotympanum",-96.991699,19.1756
"Rheohyla miotympanum",-96.991667,19.125
"Rheohyla miotympanum",-100.018611,25.285278
"Rheohyla miotympanum",-98.9801042,20.6472322
"Rheohyla miotympanum",-99.991667,25.208333
"Rheohyla miotympanum",-100.140833,25.300278
"Rheohyla miotympanum",-97.8,20.01
"Rheohyla miotympanum",-100.39778,27.43889
"Rheohyla miotympanum",-98.0500805,20.190586
"Rheohyla miotympanum",-100.182222,25.342222
"Rheohyla miotympanum",-98.6000965,21.0205465
"Rheohyla miotympanum",-97.991667,19.591667
"Rheohyla miotympanum",-92.77,17.45
"Rheohyla miotympanum",-99.356941,22.519444
"Rheohyla miotympanum",-99.15,20.77
"Rheohyla miotympanum",-96.851667,19.546667
"Rheohyla miotympanum",-100.528611,20.836111
"Rheohyla miotympanum",-99.53,20.84
"Rheohyla miotympanum",-93.98,16.23
"Rheohyla miotympanum",-97.7000626,17.2307272
"Rheohyla miotympanum",-95.09,18.56
"Rheohyla miotympanum",-99.826667,25.189444
"Rheohyla miotympanum",-99.0001149,23.3704424
"Rheohyla miotympanum",-99.2477445,23.0392727
"Rheohyla miotympanum",-100.311111,25.562222
"Rheohyla miotympanum",-99.5661316,22.8833363
