"species","lon","lat","bio_1","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","pc_1","pc_2","pc_3","pc_4","pc_5"
"Scinax elaeochroa",-84.010992,10.428674,2977,2984,2966,39040,4447,1545,301,12277,5058,64,708,726,3025,2935,90,4.75523900985718,3.33396100997925,-0.597852528095245,0.39228481054306,0.645023226737976
"Scinax elaeochroa",-83.900071,9.295772,2990,2995,2986,65535,9166,1666,453,25973,6048,28,673,384,3012,2970,42,8.53778553009033,5.86805582046509,0.672512292861938,4.27093410491943,-0.618185877799988
"Scinax elaeochroa",-84.766388,10.445948,2958,2967,2949,34833,4505,814,462,12948,2762,65,623,707,3020,2916,104,3.88909792900085,1.89846503734589,0.479544103145599,1.01098704338074,-0.378348797559738
"Scinax elaeochroa",-84.005556,10.455556,2978,2985,2967,38677,4409,1509,304,12173,4981,64,712,707,3026,2936,90,4.73470592498779,3.23285293579102,-0.596452474594116,0.371355503797531,0.614011883735657
"Scinax elaeochroa",-83.321697,9.204103,2974,2981,2968,37114,5964,613,577,15381,2187,81,713,536,3041,2927,114,4.63291883468628,1.24966597557068,0.842213809490204,2.27029895782471,0.0706209614872932
"Scinax elaeochroa",-83.506923,10.448877,2983,2989,2974,47610,5809,2013,315,15091,6895,44,704,622,3011,2949,62,6.18197298049927,5.07499408721924,-0.631452918052673,0.957277894020081,0.554731726646423
"Scinax elaeochroa",-83.403053,8.516005,2983,2990,2978,43750,6922,774,551,17837,2945,33,694,438,3014,2966,48,6.0989670753479,2.61459803581238,0.996771395206451,2.32105207443237,-1.51015603542328
"Scinax elaeochroa",-84.735022,10.440641,2957,2967,2948,35622,4573,845,458,13161,2841,65,626,723,3019,2915,104,3.95221090316772,2.01094508171082,0.486366510391235,1.06571102142334,-0.342734009027481
"Scinax elaeochroa",-83.129382,8.351339,2990,2997,2984,36380,5894,677,558,14952,2495,27,621,486,3015,2971,44,5.37499618530273,1.90617895126343,0.625630021095276,1.44267904758453,-1.94962000846863
"Scinax elaeochroa",-83.781443,10.432509,2978,2985,2968,45255,5157,1936,285,14241,6462,62,729,692,3022,2937,85,5.57475805282593,4.52662897109985,-0.73757541179657,0.804533779621124,1.1255350112915
"Scinax elaeochroa",-82.767327,9.652178,2987,2992,2979,38070,4739,1701,266,12145,7603,34,692,525,3010,2961,49,5.56563377380371,4.5305438041687,-1.00581395626068,-0.245448902249336,0.132434099912643
"Scinax elaeochroa",-84.08,10.03,2912,2920,2904,31898,4469,840,494,12435,2884,69,682,572,2971,2870,101,3.12960600852966,2.50034999847412,1.73278498649597,0.53255432844162,-0.130954802036285
"Scinax elaeochroa",-83.669466,10.413294,2981,2987,2970,45246,5188,1962,289,14263,6581,59,723,680,3021,2940,81,5.66273784637451,4.59798097610474,-0.781022191047668,0.771236479282379,1.0489809513092
"Scinax elaeochroa",-84.774285,11.116978,2989,2998,2981,22978,3340,423,564,9532,1416,55,628,672,3045,2957,88,3.42849802970886,-0.0907783880829811,-0.043837908655405,0.0612922012805939,-1.17441201210022
"Scinax elaeochroa",-83.137665,8.639407,2973,2977,2968,54261,8155,1179,510,21071,4366,44,701,345,3008,2945,63,6.878005027771,4.16711807250977,1.15738594532013,3.34987807273865,-0.594329714775085
"Scinax elaeochroa",-84.669063,10.350722,2941,2950,2932,38198,5260,859,503,14962,2838,69,636,682,3005,2897,108,4.06240177154541,2.42556309700012,1.12769198417664,1.620934009552,-0.202572301030159
"Scinax elaeochroa",-83.4080572683771,10.3385515324745,2985,2991,2975,43864,5256,2068,314,14301,6891,46,700,630,3015,2950,65,5.88975286483765,4.84176778793335,-0.849533379077911,0.568874001502991,0.681015312671661
"Scinax elaeochroa",-83.861348,9.25483,2989,2994,2984,65535,9041,1666,454,25645,5973,27,665,388,3010,2970,40,8.4610013961792,5.8513879776001,0.679152071475983,4.17586278915405,-0.677449405193329
"Scinax elaeochroa",-82.85,9.73333,2986,2991,2978,35621,4447,1517,276,11472,6954,37,692,554,3011,2958,53,5.20644378662109,3.98591709136963,-0.894112586975098,-0.366774499416351,-0.00623317994177341
"Scinax elaeochroa",-82.83333,8.48333,2985,2992,2980,40130,6208,728,540,15719,2755,54,686,441,3033,2954,79,5.36543321609497,1.90732800960541,0.599607110023499,2.05686593055725,-0.777095198631287
"Scinax elaeochroa",-83.657255,9.896549,2959,2967,2948,43217,4627,2088,251,13195,6516,66,721,797,3003,2912,91,4.96152114868164,4.84386491775513,-0.53998738527298,0.304111391305923,1.36574399471283
"Scinax elaeochroa",-83.52,8.7,2984,2992,2979,46426,7340,736,567,19355,2829,46,683,538,3027,2959,68,6.20390176773071,2.52655601501465,1.00523900985718,3.04183506965637,-1.11308598518372
"Scinax elaeochroa",-84.147553,9.433305,2990,2996,2985,56593,8072,1096,512,22335,3883,32,670,442,3015,2967,48,7.32387113571167,3.97074508666992,0.927095890045166,3.56503701210022,-1.24449694156647
"Scinax elaeochroa",-84.260726,9.91857,2961,2969,2955,25435,4189,278,677,11480,1032,74,708,533,3025,2921,104,3.2883141040802,-0.0305109396576881,1.19084799289703,0.858139216899872,-0.564741790294647
"Scinax elaeochroa",-83.950707,10.324847,2976,2983,2965,38866,4373,1660,278,12178,5377,62,704,749,3022,2934,88,4.77526521682739,3.6001980304718,-0.70268052816391,0.239189699292183,0.704175889492035
"Scinax elaeochroa",-82.256989,9.352564,2988,2994,2980,36430,4179,2205,199,10528,7350,34,675,569,3012,2961,51,5.34123420715332,4.82204389572144,-1.52277195453644,-0.860682189464569,0.419707894325256
"Scinax elaeochroa",-84.610773,9.809093,2990,2998,2984,31389,5248,230,715,14772,884,42,661,524,3031,2967,64,4.72974109649658,0.279301702976227,1.04079699516296,1.63402605056763,-1.90182304382324
"Scinax elaeochroa",-82.559433,8.30127,2996,3011,2987,32491,5579,332,647,14090,1334,56,598,936,3058,2965,93,4.62660598754883,0.304118812084198,0.301622003316879,2.03953003883362,-1.3308709859848
"Scinax elaeochroa",-82.657401,9.63104,2987,2992,2980,41543,5249,1887,266,13272,8360,32,675,522,3010,2962,48,5.99617481231689,5.17843198776245,-1.08582198619843,0.0905791893601418,0.301617503166199
"Scinax elaeochroa",-83.478941,8.617671,2989,2997,2984,39945,6271,672,556,16401,2580,44,690,502,3029,2966,63,5.60790777206421,1.87906396389008,0.683290600776672,2.05839204788208,-1.22253000736237
"Scinax elaeochroa",-84.768028,10.495017,2944,2953,2934,39582,4910,939,434,14228,3376,63,634,679,3002,2903,99,4.1382999420166,2.76758003234863,0.827088475227356,1.23286700248718,-0.267280995845795
"Scinax elaeochroa",-84.78872,10.895225,2983,2992,2973,30459,4029,736,432,11271,2785,59,652,697,3038,2947,91,4.01098108291626,1.26021003723145,-0.185187593102455,0.446533709764481,-0.578993618488312
"Scinax elaeochroa",-84.026012,10.403235,2972,2980,2961,40217,4579,1604,301,12631,5200,63,704,723,3020,2930,90,4.80757999420166,3.5919508934021,-0.501189887523651,0.47067579627037,0.663721680641174
"Scinax elaeochroa",-83.476763,8.842239,2984,2993,2979,39826,6206,644,559,16354,2474,57,684,568,3036,2952,84,5.30551290512085,1.69715201854706,0.680982112884521,2.26058197021484,-0.789659678936005
"Scinax elaeochroa",-83.527575,10.152382,2977,2984,2966,41040,4472,2249,218,12628,7178,67,731,735,3020,2929,91,5.19265699386597,4.81563186645508,-1.20334696769714,0.0583795011043549,1.67626798152924
"Scinax elaeochroa",-84.120103,10.447762,2974,2982,2963,39621,4502,1442,328,12481,4663,63,700,708,3023,2933,90,4.70479202270508,3.1697940826416,-0.399903208017349,0.532845973968506,0.449582993984222
"Scinax elaeochroa",-83.391592,8.571551,2990,2997,2985,34708,5443,614,547,14018,2345,37,698,469,3024,2971,53,5.14689779281616,1.47096395492554,0.556090414524078,1.18129396438599,-1.51800096035004
"Scinax elaeochroa",-82.565346,9.538436,2986,2992,2978,40509,4996,2022,240,12586,8235,44,706,589,3016,2954,62,5.74969387054443,5.05964803695679,-1.25246798992157,-0.0380152016878128,0.858087480068207
"Scinax elaeochroa",-84.930979,10.731855,2973,2981,2963,38494,4748,991,386,13446,3996,59,663,693,3025,2936,89,4.61843109130859,2.55192899703979,-0.0110759204253554,0.957217574119568,-0.196324497461319
"Scinax elaeochroa",-82.662694,8.401315,2990,3001,2983,40989,6633,553,596,16972,2187,56,646,714,3047,2961,86,5.48925876617432,1.48513901233673,0.621212422847748,2.73051905632019,-1.00097405910492
"Scinax elaeochroa",-83.585455,8.693145,2976,2984,2971,46856,7469,728,576,19910,2765,40,674,494,3013,2954,59,6.22405815124512,2.77117800712585,1.32407104969025,3.0489649772644,-1.38292300701141
"Scinax elaeochroa",-83.276651,8.424448,2994,3001,2988,39906,6439,733,555,16365,2738,21,605,510,3015,2981,34,5.88041400909424,2.29785799980164,0.629008710384369,1.84129703044891,-2.13171005249023
"Scinax elaeochroa",-85.011933,10.719803,2950,2958,2941,40787,4960,985,413,14575,3831,60,680,622,3002,2914,88,4.49283790588379,2.97167706489563,0.730686724185944,1.15004205703735,-0.196139201521873
"Scinax elaeochroa",-83.634843,9.35473,2955,2960,2949,51894,7652,1076,529,21099,3651,65,717,439,3003,2912,91,6.0639271736145,3.7228889465332,1.57774496078491,3.40821003913879,-0.0193944405764341
"Scinax elaeochroa",-83.629912,9.908447,2950,2958,2938,45047,4716,2277,234,13382,7039,65,726,841,2992,2903,89,5.01978206634521,5.44941091537476,-0.446790486574173,0.240298897027969,1.55819404125214
"Scinax elaeochroa",-82.564438,9.390163,2983,2989,2974,34388,3819,2114,185,9910,6953,53,730,645,3018,2946,72,4.85095691680908,4.31913185119629,-1.44624102115631,-0.910837829113007,1.05548799037933
"Scinax elaeochroa",-84.68869,10.518486,2960,2969,2949,38965,4694,945,415,13568,3480,61,632,754,3016,2919,97,4.28007888793945,2.52435207366943,0.34234631061554,1.08437502384186,-0.302515506744385
"Scinax elaeochroa",-83.500975,8.799921,2975,2982,2969,41553,6530,655,565,17200,2517,53,689,515,3022,2945,77,5.42001676559448,2.07039499282837,1.0690770149231,2.40253806114197,-0.935533702373505
"Scinax elaeochroa",-84.600167,10.387108,2968,2978,2957,37903,4895,954,460,14038,3063,65,629,751,3028,2924,104,4.37323188781738,2.1650218963623,0.253169804811478,1.37375199794769,-0.226061403751373
"Scinax elaeochroa",-84.228147,9.570306,2983,2989,2979,53030,8142,779,576,22308,2878,43,694,421,3019,2957,62,6.87598323822021,3.10927605628967,1.38753497600555,3.80965995788574,-1.21456503868103
