"species","lon","lat"
"Scinax ruber",-76.118424,7.89598
"Scinax ruber",-74.3182,5.85386
"Scinax ruber",-76.103056,1.348611
"Scinax ruber",-73.97154,9.003809
"Scinax ruber",-66.46936,18.2225
"Scinax ruber",-69.483333,-12.916667
"Scinax ruber",-73.59558,4.29414
"Scinax ruber",-73.4571,6.16305
"Scinax ruber",-74.9383,4.6767
"Scinax ruber",-60.4911,7.3706
"Scinax ruber",-60.4472,7.3431
"Scinax ruber",-76.491633,-0.598453
"Scinax ruber",-73.0339,6.97436
"Scinax ruber",-74.056667,9.014167
"Scinax ruber",-60.25,-3.391667
"Scinax ruber",-72.9031,-11.7064
"Scinax ruber",-73.612948,7.355844
"Scinax ruber",-73.56821,7.41281
"Scinax ruber",-72.7803,-11.8633
"Scinax ruber",-73.78017,4.00929
"Scinax ruber",-72.6992,-11.7856
"Scinax ruber",-75.984167,4.288611
"Scinax ruber",-61.016667,-11.533333
"Scinax ruber",-73.085412,6.992732
"Scinax ruber",-61.036944,-13.481667
"Scinax ruber",-61.458056,-11.996667
"Scinax ruber",-66.410833,-9.694167
"Scinax ruber",-66.390833,-9.798333
"Scinax ruber",-72.87,-11.8
"Scinax ruber",-75.272871,7.970473
"Scinax ruber",-70.05606,-3.50314
"Scinax ruber",-75.10834,4.8356
"Scinax ruber",-58.1666,6.7
"Scinax ruber",-78.9077,9.2356
"Scinax ruber",-68.74633,-12.66467
"Scinax ruber",-74.416667,6
"Scinax ruber",-60.828889,-2.536944
"Scinax ruber",-60.694722,-2.763333
"Scinax ruber",-60.695278,-2.695833
"Scinax ruber",-65.010278,-10.896389
"Scinax ruber",-64.255,-12.420278
"Scinax ruber",-64.113611,-12.277222
"Scinax ruber",-77.166667,7.416667
"Scinax ruber",-74.53412,4.13053
"Scinax ruber",-57.8589,5.6819
"Scinax ruber",-74.3091,5.55883
"Scinax ruber",-51.2,-23.316667
"Scinax ruber",-73.2099,6.34875
"Scinax ruber",-59.31,3.7522
"Scinax ruber",-58.17,6.8
"Scinax ruber",-74.86494,3.73219
"Scinax ruber",-59.306946,3.21456
