"species","lon","lat","bio_1","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","pc_1","pc_2","pc_3","pc_4","pc_5"
"Smilisca baudinii",-91.277435,15.86812,2921,2935,2899,36386,5750,1035,564,15023,3320,79,640,1479,2977,2853,124,3.61356210708618,2.97802591323853,1.64937794208527,1.79481303691864,0.330000996589661
"Smilisca baudinii",-91.21474,15.86639,2960,2975,2938,34547,5486,984,560,14056,3169,78,626,1507,3017,2893,124,3.9908709526062,2.11304593086243,0.601848900318146,1.75942397117615,0.252355486154556
"Smilisca baudinii",-89.63197,17.21361,2984,3003,2960,15360,2375,420,512,6116,1420,91,606,1741,3066,2916,150,1.93509995937347,-0.910373270511627,-0.745329320430756,-0.285831212997437,0.116970002651215
"Smilisca baudinii",-86.22,15.38,2940,2957,2918,23428,2988,545,401,8328,2568,88,652,1551,3011,2876,135,2.07108402252197,0.935806274414062,0.376805305480957,-0.173116400837898,0.2773217856884
"Smilisca baudinii",-86.95,14.17,2975,2993,2957,10405,1829,138,724,4427,476,96,609,1370,3063,2905,158,1.26311802864075,-2.00742793083191,-0.137536093592644,-0.502263188362122,0.0291012302041054
"Smilisca baudinii",-99.991493,25.391871,2951,3012,2882,8555,2180,242,728,3948,872,114,472,5053,3067,2826,241,-0.0678185597062111,-1.67970395088196,-0.76691198348999,0.499372810125351,0.521509528160095
"Smilisca baudinii",-89.607133,13.68945,2978,2985,2972,23353,4659,35,909,12395,197,79,717,534,3037,2927,110,3.48557901382446,-1.08513998985291,1.52905201911926,1.54221904277802,-0.650862395763397
"Smilisca baudinii",-87.738555,20.494613,2986,3005,2961,12466,1969,408,531,5123,1412,82,614,1792,3056,2922,134,1.82266902923584,-1.01851499080658,-0.727119624614716,-0.806848227977753,-0.200709298253059
"Smilisca baudinii",-96.709444,18.165278,2947,2969,2916,33175,6286,688,762,17537,2525,66,514,2102,3006,2877,129,3.97333192825317,1.95123398303986,1.41144597530365,2.84928202629089,-0.697970688343048
"Smilisca baudinii",-98.732803,21.2388,2969,3004,2921,17701,3456,437,693,8598,1431,78,475,3329,3041,2877,164,1.89765000343323,-0.285521507263184,-0.181229501962662,0.840304315090179,-0.596702218055725
