"species","lon","lat","bio_1","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","pc_1","pc_2","pc_3","pc_4","pc_5"
"Smilisca fodiens",-108.8275,26.936944,2966,3016,2906,7399,2046,42,1081,5140,202,139,523,4394,3100,2834,266,0.0123457601293921,-3.16296911239624,-0.342906087636948,1.30359697341919,1.40516805648804
"Smilisca fodiens",-105.073794,19.526772,2984,3006,2962,8126,2271,9,1100,5510,70,63,568,1796,3031,2920,111,1.79127204418182,-2.31354689598083,0.7484170794487,-0.313638001680374,-1.35879004001617
"Smilisca fodiens",-105.222552,20.659361,2983,3007,2957,12367,3042,23,1137,8713,164,69,583,2067,3036,2917,119,2.28553104400635,-2.02628397941589,0.985984086990356,0.64868688583374,-1.13049805164337
"Smilisca fodiens",-112.094872,32.569179,2946,3039,2853,2517,502,29,622,1105,143,130,405,7357,3110,2788,322,-1.69213795661926,-2.81917810440063,-2.09697604179382,0.318618714809418,0.740966975688934
"Smilisca fodiens",-112.013012,32.40034,2962,3056,2866,2126,441,27,651,960,116,134,407,7483,3126,2798,328,-1.55888199806213,-3.19155311584473,-2.46681094169617,0.444866508245468,0.901436388492584
"Smilisca fodiens",-112.22692,32.66834,2956,3050,2862,2235,442,21,618,988,126,126,391,7403,3120,2798,322,-1.56199395656586,-2.96883106231689,-2.39647006988525,0.319087505340576,0.578054487705231
"Smilisca fodiens",-111.454167,31.476944,2917,3000,2832,4621,1004,59,769,2437,312,136,440,6653,3073,2764,309,-1.72072505950928,-2.29676508903503,-0.761176884174347,0.539163172245026,1.07246494293213
"Smilisca fodiens",-111.985522,31.840257,2952,3040,2863,3118,688,35,733,1557,173,133,424,7012,3109,2795,314,-1.43674397468567,-2.98823189735413,-1.84676504135132,0.492982894182205,0.919043302536011
"Smilisca fodiens",-103.473778,21.198583,2920,2948,2884,7398,1981,28,1136,5091,155,136,588,2477,3035,2804,231,-0.33508089184761,-2.404452085495,1.52217602729797,0.549072921276093,1.38875603675842
"Smilisca fodiens",-108.934699,27.017825,2963,3015,2902,7925,2189,34,1109,5627,193,143,525,4505,3099,2826,273,-0.010347199626267,-3.15711903572083,-0.223418593406677,1.52658295631409,1.54154300689697
"Smilisca fodiens",-110.828194,29.24007,2967,3042,2887,3816,987,15,1035,2569,116,150,487,6133,3123,2815,308,-0.944242715835571,-3.77202796936035,-1.33286499977112,1.04928994178772,1.72134494781494
"Smilisca fodiens",-110.856659,29.185471,2969,3044,2889,3781,967,15,1043,2564,113,149,486,6102,3124,2818,306,-0.901103079319,-3.80699110031128,-1.36094701290131,1.03827905654907,1.68712794780731
"Smilisca fodiens",-111.064621,29.085051,2975,3049,2896,3198,831,12,1033,2154,95,143,484,6033,3123,2827,296,-0.81726747751236,-3.85429906845093,-1.47191298007965,0.821120619773865,1.46221899986267
"Smilisca fodiens",-109.286361,28.29175,2955,3014,2888,7941,2442,88,1133,5515,321,144,503,5008,3101,2815,286,-0.155218303203583,-3.01154899597168,-0.249991297721863,1.7512309551239,1.60845494270325
"Smilisca fodiens",-109.300528,28.255694,2966,3024,2898,7667,2359,81,1141,5362,296,144,501,5047,3112,2824,288,-0.0500344596803188,-3.23388504981995,-0.516198694705963,1.77300894260406,1.61264896392822
"Smilisca fodiens",-108.699472,28.255694,2885,2942,2819,9997,2705,157,933,6102,597,148,520,4911,3030,2745,285,-1.08339595794678,-1.33171200752258,1.23180401325226,1.37543404102325,1.7381420135498
"Smilisca fodiens",-112.249189,32.715912,2956,3050,2862,2263,440,20,610,995,126,126,390,7391,3120,2798,322,-1.56376695632935,-2.95723700523376,-2.40873908996582,0.312989801168442,0.573048770427704
"Smilisca fodiens",-112.228667,32.700667,2957,3051,2863,2213,430,20,610,969,125,126,391,7403,3121,2798,323,-1.55922996997833,-2.97679591178894,-2.43632507324219,0.313237100839615,0.576170086860657
"Smilisca fodiens",-111.9504,32.51001,2964,3059,2866,2056,411,26,624,899,116,135,405,7612,3130,2797,333,-1.59142804145813,-3.21118307113647,-2.60847496986389,0.460643410682678,0.927591681480408
"Smilisca fodiens",-112.48303,32.36565,2951,3041,2861,2435,544,23,676,1099,135,124,398,7117,3111,2800,311,-1.49507999420166,-2.90352988243103,-2.05141711235046,0.286352813243866,0.534864902496338
"Smilisca fodiens",-112.05741,32.08998,2952,3042,2860,2685,578,32,690,1267,143,135,420,7201,3113,2792,321,-1.57245302200317,-3.01766395568848,-2.0185170173645,0.449857801198959,0.967929124832153
