"species","lon","lat","bio_1","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","pc_1","pc_2","pc_3","pc_4","pc_5"
"Smilisca phaeota",-83.2048,8.696856,2979,2985,2975,52797,7864,1082,514,20547,4074,46,692,388,3018,2951,67,6.73902988433838,3.72814702987671,0.953602373600006,3.27915501594543,-0.642644822597504
"Smilisca phaeota",-79.047095,0.041766,2952,2958,2949,38055,6250,971,599,17372,3691,51,801,357,2981,2917,64,5.30257081985474,2.97968697547913,1.7158499956131,1.65715003013611,-0.409180790185928
"Smilisca phaeota",-75.031565,5.537683,2932,2940,2925,34637,4437,1310,339,11703,4963,94,752,540,3001,2876,125,3.54612803459167,3.15860891342163,0.501749813556671,0.42773911356926,1.61139297485352
"Smilisca phaeota",-74.507472,6.069111,3015,3025,3003,20487,2753,652,390,7089,2595,94,773,797,3083,2961,122,3.28683090209961,-0.482328087091446,-1.3152049779892,-0.406392008066177,0.843332588672638
"Smilisca phaeota",-83.318613,8.496999,2989,2996,2984,40096,6382,732,549,16262,2763,26,654,473,3015,2975,40,5.81931686401367,2.28440499305725,0.737198412418365,1.80262494087219,-1.86615896224976
"Smilisca phaeota",-79.204415,9.292953,2982,2986,2978,30801,4832,245,596,12772,1091,53,822,332,3018,2953,65,4.46307420730591,0.352778196334839,1.2006219625473,0.882083117961884,-1.23229205608368
"Smilisca phaeota",-78.616895,0.213135,2943,2945,2942,24372,3470,736,408,9226,2874,61,827,155,2982,2908,74,3.23519802093506,1.61702299118042,1.08002805709839,-0.8486328125,-0.248430401086807
"Smilisca phaeota",-83.306862,8.388605,2990,2997,2984,38978,6309,700,560,16075,2623,20,604,495,3010,2977,33,5.72826385498047,2.24926805496216,0.742089509963989,1.71255505084991,-2.2130138874054
"Smilisca phaeota",-86.053247,13.239244,2925,2938,2910,15463,2667,230,702,6655,837,81,631,1052,2995,2867,128,1.32577002048492,-0.343297213315964,1.48293304443359,-0.454683691263199,-0.447068810462952
"Smilisca phaeota",-84.76936,10.440211,2958,2968,2949,34874,4550,803,468,13056,2729,65,623,705,3021,2916,105,3.90793609619141,1.87078905105591,0.486149996519089,1.0647759437561,-0.391908586025238
