"species","lon","lat","bio_1","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","pc_1","pc_2","pc_3","pc_4","pc_5"
"Tlalocohyla smithii",-104.02309,20.294974,2874,2901,2843,11907,3016,61,1084,7817,283,136,594,2220,2995,2767,228,-0.363981008529663,-1.16219401359558,2.7750461101532,1.09128701686859,1.35502099990845
"Tlalocohyla smithii",-108.8275,26.936944,2966,3016,2906,7399,2046,42,1081,5140,202,139,523,4394,3100,2834,266,0.0123457601293921,-3.16296911239624,-0.342906087636948,1.30359697341919,1.40516805648804
"Tlalocohyla smithii",-99.652975,18.874311,2919,2938,2896,11573,2320,102,954,6665,389,122,649,1631,3008,2820,188,0.38763889670372,-1.49658703804016,1.83693099021912,0.235304206609726,0.96498030424118
"Tlalocohyla smithii",-96.453,15.90245,2971,2980,2960,18110,3617,61,934,9922,350,72,644,791,3026,2914,112,2.69672107696533,-1.20383405685425,1.35588896274567,0.698615372180939,-0.920399725437164
"Tlalocohyla smithii",-108.537889,27.272528,2948,2998,2888,12000,3282,107,1006,7806,439,142,530,4403,3081,2814,267,0.357564806938171,-2.22824692726135,0.242461800575256,2.05309700965881,1.51204705238342
"Tlalocohyla smithii",-105.3,20.052,2988,3007,2967,10751,2700,22,1128,7529,110,84,632,1639,3052,2919,133,2.08681106567383,-2.49298501014709,0.786024928092957,0.447915285825729,-0.476350992918015
"Tlalocohyla smithii",-102.6,19.206,3003,3032,2978,9452,2166,14,1058,5977,149,125,588,2076,3112,2899,213,1.34747302532196,-3.45781707763672,-0.499337196350098,0.9463791847229,1.00966703891754
"Tlalocohyla smithii",-98.519,16.534,3007,3019,3001,12661,2870,18,1101,7761,90,92,694,774,3076,2943,133,2.6312210559845,-2.84485006332397,0.470471888780594,0.588258028030396,-0.0656000897288322
"Tlalocohyla smithii",-96.209013,15.778956,2996,3004,2986,13126,2718,64,948,7219,285,48,605,713,3033,2954,79,2.76633310317993,-1.70375502109528,0.664699196815491,-0.334496587514877,-1.80275499820709
"Tlalocohyla smithii",-96.463,15.767,2991,2999,2981,13804,2843,52,966,7762,248,50,619,693,3030,2949,81,2.78381609916687,-1.64561402797699,0.865411877632141,-0.186358600854874,-1.72817599773407
"Tlalocohyla smithii",-99.450556,18.646528,2985,3008,2962,8947,1891,38,1041,5484,199,123,617,1794,3081,2881,200,1.03709697723389,-3.06722807884216,0.107885897159576,0.450018286705017,0.985985696315765
"Tlalocohyla smithii",-99.376861,18.597389,2992,3016,2968,9083,1934,31,1065,5640,170,124,618,1859,3090,2889,201,1.1659859418869,-3.24147796630859,-0.0413370691239834,0.581861793994904,1.02455496788025
